a flat (AmE: an apartment);квартира
a house;дом (помещение)
a balcony;балкон
a bathroom;ванная
a bedroom;спальня
a curtain;штора
a door;дверь
a fence;забор
a floor;пол, этаж
a hall;коридор
a kitchen;кухня
a living room;гостиная, зал
a roof;крыша
a room;комната
a shower;душ
a sink;раковина
a socket;розетка
stairs;лестница, ступеньки
a toilet;туалет
a wall;стена
a window;окно
a yard;двор
furniture;мебель
an armchair;кресло
a bed;кровать
a chair;стул
a shelf;полка
a sofa;диван
a table;стол
a wardrobe (AmE: a closet);шкаф
a battery;батарейка, аккумулятор
a camera;камера
a computer;компьютер
a fridge;холодильник
an iron;утюг
a keyboard;клавиатура
a lamp;лампа
a laptop;ноутбук
a microwave;микроволновка
an oven;печь, духовка
a phone;телефон
a radio;радио
a cooker (AmE: a stove);кухонная плита
a TV;телевизор
a wire;провод
a ball;мяч, шар
a blanket;одеяло
a carpet;ковер
a key;ключ, клавиша
a magazine;журнал
mail;почта
a mirror;зеркало
a newspaper;газета
a package;упаковка, посылка
a pillow;подушка
a sheet;простыня
a soap;мыло
a towel;полотенце
a vase;ваза
