all;все, всё, каждый;All my friends agree with me. — Все мои друзья согласны со мной.
another;еще один, другой;I’m going to have another piece of cake. — Я собираюсь взять еще кусок торта.
anybody/anyone, anything;кто-нибудь/никто, что-нибудь/ничто;I don’t know anybody at the party and even don’t know anything about the host. — Я никого не знаю на вечеринке и ничего не знаю о хозяине.
certain;определенный, некоторый;Certain of his assumptions are simply not true. — Некоторые из его предположений просто неправдивы.
everybody/everyone, everything;все/каждый, всё;Everyone has their own ideas of everything. — У всех свои собственные представления обо всём.
he;он;Did he get the promotion? — Он получил продвижение?
her;ее;It’s her birthday today, we are invited. — Сегодня ее день рождения, мы приглашены.
herself;сама, себя, себе;She decorated the cake herself. — Она украшала торт сама.
him;его, ему;I haven’t seen him for ages. — Я не видела его сто лет.
himself;сам, себя, себе;Simon’s looking very pleased with himself today. — Саймон выглядит очень довольным собой сегодня.
his;его;Joe left his car parked with the lights on. — Джо оставил свою машину припаркованной с включенными фарами.
I;я;When I was a child I had a cat. — Когда я был ребенком у меня был кот.
it;оно, он, она (о животных и неодушевленных предметах);This is my desk, it is at the window. — Это мой стол, он у окна.
its;свой;The house has its own swimming pool. — У дома свой собственный бассейн.
itself;себя, себе, сам, сама, само;They left the cat in the house by itself for a week. — Они оставили кота в доме самого на неделю.
lot;много;— How many plates do you need? — A lot. — Сколько тарелок тебе нужно? — Много.
me;мне, меня, мной;Mother always gives me some pocket money. — Мама всегда дает мне немного карманных денег.
mine;мой (абсолютная форма);Your child is the same age as mine. — Твой ребенок такого же возраста, как и мой.
my;мой;I often think about my family these days. — В эти дни я часто думаю о своей семье.
myself;себя, сама, сам, само;I’ve cut myself on that glass. — Я порезал себя стеклом.
nobody, nothing;никто, ничто;It’s nothing to do, nobody answers the phone, we have to go. — Ничего не поделать, никто не ответил на телефонный звонок, мы должны уходить.
none;ни один из, никто, ничто;None of my children are blonde. — Ни один из моих детей не блондин.
our;наш, наши, наша, наше;Our house is in the centre of the city. — Наш дом в центре города.
ourselves;себя, себе, собой, самим;John and I promised ourselves a good holiday this year. — Джон и я пообещали себе хороший отпуск в этом году.
same;одно и то же, то же самое;He thinks the same as I do. — Он думает так же, как я.
she;она;She is so clever! — Она такая умная!
some;кое-кто, некоторые, одни, другие;Some have compared his work to Picasso’s. — Некоторые сравнивают его работы с Пикассо. Some agree with us and some disagree. — Одни согласны с нами, другие не согласны.
somebody/someone, something;кто-то, что-то;Somebody called Mary when I was out and told her something bad. — Кто-то позвонил Мэри, когда меня не было, и сказал что-то плохое.
that;тот, та, то, который;I bought that bag in my trip to London. — Ту сумку я купила во время поездки в Лондон. Is this the train that goes to London? — Это тот поезд, который едет в Лондон?
their;их, свой, свое, свои;She gave them their coats. — Она отдала им их пальто.
them;их, им, себя;I’ve lost my keys and can’t find them. — Я потерял мои ключи и не могу их найти.
themselves;сами себе;The girls made themselves sandwiches for lunch. — Девочки сделали сами себе сэндвичи на обед.
there;там;There’s someone on the phone for you. — Там кто-то на телефоне тебя спрашивает.
these;этот, эта, это;What are these toys doing here? — Что эти игрушки тут делают?
they;они;They are very nice people, I know them well. — Они очень милые люди, я знаю их хорошо.
this;это, эта, этот;Which class are you in this year? — В каком классе ты в этом году?
those;те, тех, теми;Can I help you with those books? — Могу я вам помочь с теми книгами?
us;нам, нами, нас;Thanks for giving us a lift to the airport. — Благодарю, что подбросили нас в аэропорт.
we;мы;If you don’t hurry up we will be late. — Если ты не поторопишься, мы опоздаем.
what;что, как, каков;I can’t decide what to do next. — Я не могу решить, что делать дальше.
whatever;что бы ни, любой;You seem to criticize me whatever I do. — Кажется, ты критикуешь меня, что бы я не сделал. He’ll be ready to accept whatever help he can get. — Он будет готов принять любую помощь, которую сможет получить.
whoever;кто бы ни, который бы ни;Whoever did it, he would be punished. — Кто бы это ни сделал, он будет наказан.
where;где;The hall where you’re giving your talk is on the second floor. — Зал, где вы читаете лекцию, на втором этаже.
which;который, какой;These are principles which we all believe in. — Это принципы, в которые мы все верим.
who;кто, кого, который, те;I don’t know who to ask to the party. — Я не знаю, кого звать на праздник.
whose;чья, чьи;I didn’t know whose money it was. — Я не знал, чьи это были деньги.
you;ты, вы;Did you put the car in the garage? — Ты поставил машину в гараж?
your;твой, твоя, твои;Is this your bag? — Это твоя сумка?
yours;твой,твоя, твои;Is this pen yours? — Это ручка твоя?
yourself;себя, себе, сам, сами, собой;The knife is very sharp, you can cut yourself. — Нож очень острый, ты можешь поранить себя.
